intent,text
Bye,Bye
Bye,Ok see ya
Bye,ok bye
Bye,bye bye
Bye,"Thanks, bye"
Bye,Thank you for helping
Bye,Byee
Bye,Arigato Gosaimasu
Bye,Thanks for the help
Bye,See you
Bye,Okay thanks
Bye,Thank you so much
Bye,Thank you
Bye,Bye
Bye,Cya
Bye,Okay thank you for helping
Bye,Thank you for answering
Bye,Okay
Bye,Baaye
Bye,Cyou
Bye,Sayonara
Q_A,How to take care of my laptop?
Q_A,What is a chromebook?
Q_A,What are the different kinds of laptop?
no,"No, this is not what I am looking for."
no,"No, I dont want this."
no,"No, I dont like this product."
Greetings,Ohaio Gosaimasu
Greetings,"hello ,how are you"
Greetings,"Hey, whats up "
Bye,Bye catch you later.
Bye,bye bye thanks for the help.
Bye,"Okay I am done, see you later."
